owner_address,owner_twitter_username,id,address,twitterUsername,twitterName,twitterPfpUrl,twitterUserId,ftUsername,ftName,userBio,ftPfpUrl,lastOnline,balance,isFollowing,has_keys
0x4e5f7e4a774bd30b9bdca7eb84ce3681a71676e1,Cobie,642120,0x51396d7fae25d68bda9f0d004c44dcd696ee5d19,,,,,joeblow,Joe Blow,a monkey,https://d3egfmvgqzu76k.cloudfront.net/pfp-images/0x51396d7fae25d68bda9f0d004c44dcd696ee5d19/35902111k50s1icebw?Expires=1821849083&Key-Pair-Id=K11ON08J8XW8N0&Signature=VkzpO1r6oJK00U7btsuRGLgrUqcYw~dnua8rLWQoSld4gkplX77thzZWnBgtwhoKa4HR5ENNptX7nuExM525eVk6eEt9hcR05lz1QhH4r6e0BIRG1YrLmTVGKz05iDHqA3YlF3hJ~wSQXQLQW-WPFq8ytEQrFSQEuzM6BULdkVGVbrcsZTto5DiObbAaefSTZJx0TgB2cHw9xQqzOW9Lf8O77pt5sE7XczKylEJvbrVeBXcgJEBaXeYtq9XRb7S9-ohTwPTo40ob0Dld~KeHdA5r1VFvOA9ekrV5yK~2zaRl4zjX~jIVJJ5C~B~Hh0Uyta93ixUG6P5KqIHg1yZH-A__,0,13,False,1
0x4e5f7e4a774bd30b9bdca7eb84ce3681a71676e1,Cobie,59868,0x4d57fecc667307159be3fd6340cadfcf86016fb9,therealOGedeon,Osama Gedeon,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0x4d57fecc667307159be3fd6340cadfcf86016fb9.jpg?Expires=1821849083&Key-Pair-Id=K11ON08J8XW8N0&Signature=k8suaiiNDfwe4il6E5cCeWpCCyWed7BmV37otfhGZIKf3n2dEaa-jbfgK5zMMiJ1dE8qfOGh7xQALQfAVKnaeBkS26Xuhj727OjFfkz4rVY3okBAkPU-xM8OH9WDfiRiCJoBWCYdReTm796FCB7Yc1RvTlp9fPfQihma0EMpFq8lfrZXwCZpcnoI~pPd-iULkn304celwWhVPWk-qCS1jYCc8PrompIN8Js5W1z4EXg~1JQdorn8sBz7K~4DmMAegK1-UoDBIL1hJKbjXuYyZE2fnDBPvW7C0x1Voncmb6mPXRM4HEpSDKS6ICkJkFXpTgRu3F-jOCuIk2qryRExPA__,1259111349050802177,therealOGlampin,AlwaysLampin,,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0x4d57fecc667307159be3fd6340cadfcf86016fb9.jpg?Expires=1821849083&Key-Pair-Id=K11ON08J8XW8N0&Signature=k8suaiiNDfwe4il6E5cCeWpCCyWed7BmV37otfhGZIKf3n2dEaa-jbfgK5zMMiJ1dE8qfOGh7xQALQfAVKnaeBkS26Xuhj727OjFfkz4rVY3okBAkPU-xM8OH9WDfiRiCJoBWCYdReTm796FCB7Yc1RvTlp9fPfQihma0EMpFq8lfrZXwCZpcnoI~pPd-iULkn304celwWhVPWk-qCS1jYCc8PrompIN8Js5W1z4EXg~1JQdorn8sBz7K~4DmMAegK1-UoDBIL1hJKbjXuYyZE2fnDBPvW7C0x1Voncmb6mPXRM4HEpSDKS6ICkJkFXpTgRu3F-jOCuIk2qryRExPA__,0,2,False,1
0x4e5f7e4a774bd30b9bdca7eb84ce3681a71676e1,Cobie,11496,0xdb4831193213dd2827100c3a1cea6c0c0e09db0a,Blockchain_C,Blockchain Capital Partners,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0xdb4831193213dd2827100c3a1cea6c0c0e09db0a.jpg?Expires=1821849083&Key-Pair-Id=K11ON08J8XW8N0&Signature=EcwfQReso8GVd3k3KW1LJ3Lcec3JmvZbSicm-2u-PMIyG2DEXjJqH0qsrlcrkSLbOSeqbubwv-vPEiwStBGDitoCVYTPw3kdZVDP-V4myKniVFPw0plrA17PGFlb0m9IlT5chlod8W2wIjpCBRWa-3GfCb5uDFX3AMTjAHFXzr0YZVIwQFibkn-0zlkKNzKUUYaxvjss9mzh6ZKam9SAuGbA0QJUM~o42Nsljr26~FoDt1uIGUqcsQZ1Tyrl9~sqzJUi5gSF1~66nKhw1gVrXwWKOzxGRW9QHUWdnq~WWO-csgjgYke-Jt6Pm3hrMqDPXEAnpB-54O6u7bt7Msd1KA__,939219780929699840,Blockchain_C,Blockchain Capital Partners,,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0xdb4831193213dd2827100c3a1cea6c0c0e09db0a.jpg?Expires=1821849083&Key-Pair-Id=K11ON08J8XW8N0&Signature=EcwfQReso8GVd3k3KW1LJ3Lcec3JmvZbSicm-2u-PMIyG2DEXjJqH0qsrlcrkSLbOSeqbubwv-vPEiwStBGDitoCVYTPw3kdZVDP-V4myKniVFPw0plrA17PGFlb0m9IlT5chlod8W2wIjpCBRWa-3GfCb5uDFX3AMTjAHFXzr0YZVIwQFibkn-0zlkKNzKUUYaxvjss9mzh6ZKam9SAuGbA0QJUM~o42Nsljr26~FoDt1uIGUqcsQZ1Tyrl9~sqzJUi5gSF1~66nKhw1gVrXwWKOzxGRW9QHUWdnq~WWO-csgjgYke-Jt6Pm3hrMqDPXEAnpB-54O6u7bt7Msd1KA__,1691761193438,2,False,1
0x4e5f7e4a774bd30b9bdca7eb84ce3681a71676e1,Cobie,155168,0xe676a4587e853c0b4166bdd53400fadf535799f6,misterblue2000,Mister Blue,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0xe676a4587e853c0b4166bdd53400fadf535799f6.jpg?Expires=1821849083&Key-Pair-Id=K11ON08J8XW8N0&Signature=exWbHwuflb30NysIJWhe8ZbpflEqSmuS-FG04frdqq6q3hd5H86q~V8RFQQzPqlFK7SWCGdCVXUso5NisVeeNMImhRbZAqnZuYklMgm5xwtkpH1ExfcN9YjNx8usKhrvkdMf4DPkLPYe9-I2g4fa-YeII3tolDfXvoNBhgzX17w1YgurILh8X0I6xNlMvglTATBG1kMDf5-VT6kFd~q69G9ijMIab4EZF~yvDNiluuwjZ12Oi9MD7tKOswqppEa8o~L0dDiNm9xlj7P79j8RdNyz1EZryDmXTnAfYcl1UOoRf1ruUTgLO6iHF0TTyVbZxax0MJshyf7ekei3HAJJeg__,786753924111798272,misterblue2000,Mister Blue,"""Top 10 Blur farmer \n\nTop 50 FriendTech points leader\n\n30% of airdrop goes to holders """,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0xe676a4587e853c0b4166bdd53400fadf535799f6.jpg?Expires=1821849083&Key-Pair-Id=K11ON08J8XW8N0&Signature=exWbHwuflb30NysIJWhe8ZbpflEqSmuS-FG04frdqq6q3hd5H86q~V8RFQQzPqlFK7SWCGdCVXUso5NisVeeNMImhRbZAqnZuYklMgm5xwtkpH1ExfcN9YjNx8usKhrvkdMf4DPkLPYe9-I2g4fa-YeII3tolDfXvoNBhgzX17w1YgurILh8X0I6xNlMvglTATBG1kMDf5-VT6kFd~q69G9ijMIab4EZF~yvDNiluuwjZ12Oi9MD7tKOswqppEa8o~L0dDiNm9xlj7P79j8RdNyz1EZryDmXTnAfYcl1UOoRf1ruUTgLO6iHF0TTyVbZxax0MJshyf7ekei3HAJJeg__,0,2,False,1
0x4e5f7e4a774bd30b9bdca7eb84ce3681a71676e1,Cobie,12172,0xfb3aa66460b6caac9ec4fb2771422abe88db10dd,CryptoOmen,Pulla,https://pbs.twimg.com/profile_images/1658798271647694849/tBnob6ys.jpg,875363625107693570,CryptoOmen,Pulla,,https://pbs.twimg.com/profile_images/1658798271647694849/tBnob6ys.jpg,1691760321700,2,False,1
0x4e5f7e4a774bd30b9bdca7eb84ce3681a71676e1,Cobie,157377,0x0bf172b38219476d57cd3ea8bf233932dec548b9,pruggle1,King Pruggle,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0x0bf172b38219476d57cd3ea8bf233932dec548b9.jpg?Expires=1821849083&Key-Pair-Id=K11ON08J8XW8N0&Signature=jJa-P-2kX4ahw0OhVcBMkN5pfr3FqXj0p64VwQ7rv1clT7yYt0VtqoGhouHAulAETlKNmON5OOoNcYheSk6Ur8usi2mcDONfBf6KP6fJXa127PSr5RI-VjdD8c7qC-TGdeuQUrI6GEwg~p9-tdP6dvUqojxVNVNxgHeqZRrLguGwRL22~~e3RfmejMC5LfvK3gtG2FGDWsTOqCKVViZwVahHiNWOJrmWUXAjIALADCxZpQSLAAbHImsFtV9EnCG8cf2B5uMaWLIXz7UmeC5LQ8D4C6qj3WgincJ-5jdV6xFsbUjAcxAnV~Oln6M4QcNS-l-zKHCzXg9wmZc3M2K7~A__,933526690034307072,pruggle1,King Pruggle,"""because life is a struggle""",https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0x0bf172b38219476d57cd3ea8bf233932dec548b9.jpg?Expires=1821849083&Key-Pair-Id=K11ON08J8XW8N0&Signature=jJa-P-2kX4ahw0OhVcBMkN5pfr3FqXj0p64VwQ7rv1clT7yYt0VtqoGhouHAulAETlKNmON5OOoNcYheSk6Ur8usi2mcDONfBf6KP6fJXa127PSr5RI-VjdD8c7qC-TGdeuQUrI6GEwg~p9-tdP6dvUqojxVNVNxgHeqZRrLguGwRL22~~e3RfmejMC5LfvK3gtG2FGDWsTOqCKVViZwVahHiNWOJrmWUXAjIALADCxZpQSLAAbHImsFtV9EnCG8cf2B5uMaWLIXz7UmeC5LQ8D4C6qj3WgincJ-5jdV6xFsbUjAcxAnV~Oln6M4QcNS-l-zKHCzXg9wmZc3M2K7~A__,0,1,False,1
0x4e5f7e4a774bd30b9bdca7eb84ce3681a71676e1,Cobie,3621,0x0d05ca72488f4241bf34e13b191f0d13f329af8b,ThinkingOLA,Semantics,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0x0d05ca72488f4241bf34e13b191f0d13f329af8b.jpg?Expires=1821849083&Key-Pair-Id=K11ON08J8XW8N0&Signature=LVf3fzHe5TY-PgXnJh-Ihm-FXE-cWohb58n1eEwnEy745gYoqikYWtQlNg0kDWGonl3V1HYZQdPD2rTZv3lT6qo77dy30aJJuI9m8F~0HFZsnAjHp-QiuKrk0Q24AwY9RyCozgnFxdmVo~TrqTy-FWSrdWyxPGdWeuHgILKY0GmJmXYaNHS6YihXUBT4axKH08UuMW6xY0s-b0fchJdmYJj-VtAvU3ycXtG3ajPFuY8GY5rjvvqOXtm-o~11DbTYTZAJZFbwqHRBXznCPtULOe4n-QpoG2bke2qKy7FvdD9zQcA99p4BXeRYwQV0bS0pVHkONRx1M6uWg4A1CVmznw__,3179573444,ThinkingOLA,Semantics,,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0x0d05ca72488f4241bf34e13b191f0d13f329af8b.jpg?Expires=1821849083&Key-Pair-Id=K11ON08J8XW8N0&Signature=LVf3fzHe5TY-PgXnJh-Ihm-FXE-cWohb58n1eEwnEy745gYoqikYWtQlNg0kDWGonl3V1HYZQdPD2rTZv3lT6qo77dy30aJJuI9m8F~0HFZsnAjHp-QiuKrk0Q24AwY9RyCozgnFxdmVo~TrqTy-FWSrdWyxPGdWeuHgILKY0GmJmXYaNHS6YihXUBT4axKH08UuMW6xY0s-b0fchJdmYJj-VtAvU3ycXtG3ajPFuY8GY5rjvvqOXtm-o~11DbTYTZAJZFbwqHRBXznCPtULOe4n-QpoG2bke2qKy7FvdD9zQcA99p4BXeRYwQV0bS0pVHkONRx1M6uWg4A1CVmznw__,1691761623674,1,False,1
0x4e5f7e4a774bd30b9bdca7eb84ce3681a71676e1,Cobie,35916,0x0e4d22f348839d0a40b10abce49847deb3c26839,dyltrig,🧲 DylT🆁ig 🧲,https://pbs.twimg.com/profile_images/878258048187252736/YdCsGIa5.jpg,860028220267044864,dyltrig,🧲 DylT🆁ig 🧲,,https://pbs.twimg.com/profile_images/878258048187252736/YdCsGIa5.jpg,0,1,False,1
0x4e5f7e4a774bd30b9bdca7eb84ce3681a71676e1,Cobie,596885,0x104a7b78db3ddfc6eb13137e45a888c36ed39af9,lternate_acc,find a new slant,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0x104a7b78db3ddfc6eb13137e45a888c36ed39af9.jpg?Expires=1821849083&Key-Pair-Id=K11ON08J8XW8N0&Signature=be2Rvbn4G18tSzc2i5TZJ6MEn3M2ad1Mo~3Eyexq4OWqlscco~waNymTwNoY-m8HHNKfx8hp55Yt8HWFzyzQE3AVbfCcpu4VYibAWV9FpDPzg~O2zA5AJe0Dx4XO8pfpEkti4yPW7UZ32NyVwOo2h2De4lFALyx19ZdNWYVclZ8bdEbBQ-bbo5UJ3f3I2v1wmHlPjlCkAsXC8aZRwfVMtVt5fHI~dP2FaW46ihSe5uCtUYSGjW78SEd8B2jhAz4OMR2ccjZMHyv7sDUlmYzoVAcjO2HMcbCSy9j5eI1IokHT4hX2646NTv0aFxBdqxG-AUY5iRoJyosEUc1gLuZbOw__,1759276648451694592,lternate_acc,find a new slant,,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0x104a7b78db3ddfc6eb13137e45a888c36ed39af9.jpg?Expires=1821849083&Key-Pair-Id=K11ON08J8XW8N0&Signature=be2Rvbn4G18tSzc2i5TZJ6MEn3M2ad1Mo~3Eyexq4OWqlscco~waNymTwNoY-m8HHNKfx8hp55Yt8HWFzyzQE3AVbfCcpu4VYibAWV9FpDPzg~O2zA5AJe0Dx4XO8pfpEkti4yPW7UZ32NyVwOo2h2De4lFALyx19ZdNWYVclZ8bdEbBQ-bbo5UJ3f3I2v1wmHlPjlCkAsXC8aZRwfVMtVt5fHI~dP2FaW46ihSe5uCtUYSGjW78SEd8B2jhAz4OMR2ccjZMHyv7sDUlmYzoVAcjO2HMcbCSy9j5eI1IokHT4hX2646NTv0aFxBdqxG-AUY5iRoJyosEUc1gLuZbOw__,0,1,False,1
0x4e5f7e4a774bd30b9bdca7eb84ce3681a71676e1,Cobie,46037,0x11f383f1f7a7b36364646b216785d7a851c3bc3d,PopcornKirby,Popcorn Kirby 🚀,https://pbs.twimg.com/profile_images/1609881885400010753/vfvOStjB.jpg,1161802324395741184,PopcornKirby,Popcorn Kirby 🚀,,https://pbs.twimg.com/profile_images/1609881885400010753/vfvOStjB.jpg,0,1,False,1
